Item,Qty,Reference(s),Value,Footprint,Digikey Part #,Manufacturer part #
1,3,"C201, C204, C213",10u 100V,SMD 6.3x7.7,732-865060845002CT-ND,865060845002
2,15,"C202, C208, C209, C210, C211, C212, C302, C305, C306, C309, C310, C311, C312, C313, C314",100n 50V X7R,0603,399-C0603C104K5RACTUCT-ND,C0603C104K5RACTU
3,10,"C203, C301, C401, C402, C403, C404, C405, C406, C407, C408",47u 35V,SMD 6.3x5.5,732-8508-1-ND,865080543009
4,2,"C205, C207",100p 50V C0G,0603,490-1427-1-ND,GRM1885C1H101JA01D
5,1,C206,1u 100V Film,2824,478-4539-1-ND,CB052E0105JBC
6,2,"C307, C308",20p 50V C0G,0603,1276-1187-1-ND,CL10C200JB8NNNC
7,8,"D201, D202, D401, D402, D403, D404, D405, D406",Schottky 40V,SOD-123F,B140S1F-7,31-B140S1F-7CT-ND
8,2,"D301, D302",Dual LED,WP934MD,754-2010-ND,WP934MD/LILGD
9,1,F201,Fuse Holder,0031.7701.22,486-3856-1-ND,0031.7701.22
10,1,FB301,120,0603,490-5254-1-ND,BLM18KG121TN1D
11,1,HS201,6396BG,6396BG,6396BG-ND,6396BG
12,1,HS202,Heatsink,577102B04000G,HS368-ND,577102B04000G
13,1,"J201, J202, J203, J204",Tab Connector,Through Hole,36-1211-ND,1211
14,1,J301,6 Pin Header,2x3 2.54 Through Hole,952-2121-ND,M20-9980346
15,1,J302,USB B,Through Hole Right Angle,102-3999-ND,UJ2-BH-1-TH
16,1,Q201,IRF510,TO-220-3,IRF510PBF-ND,IRF510PBF
17,1,Q401,FMMT614TA,SOT-23-3,FMMT614CT-ND,FMMT614TA
18,1,Q402,FMMT734,SOT-23-3,FMMT734CT-ND,FMMT734TA
19,1,R201,10K,0603,RMCF0603JT10K0CT-ND,RMCF0603JT10K0
20,6,"R202, R203, R303, R304, R305, R306",1k,0603,RMCF0603FT1K00CT-ND,RMCF0603FT1K00
21,1,R204,10R,TO-220-4,Y0926-10A-ND,Y092610R0000T9L
22,2,"R401, R402",160,0603,311-160GRCT-ND,RC0603JR-07160RL
23,3,"RN301, RN302, RN303",1k,4x0603,60-742C083102JPCT-ND,742C083102JP
24,1,RN304,120,4x0603,Y4121CT-ND,EXB-V8V121JV
25,1,S101,RF Shield Frame,32x32,903-BMI-S-204-FCT-ND,BMI-S-204-F
26,2,"TH301, TH302",1k NTC,Through Hole,900-2152723107-ND,2152723107
27,1,U201,ADR441B,SOIC-8,505-ADR441BRZ-ND,ADR441BRZ
28,1,U202,LTC1595B,SOIC-8,LTC1595BCS8#TRPBFCT-ND,LTC1595BCS8#TRPBF
29,1,U203,OPA4182,SOIC-14,296-OPA4182IDRCT-ND,OPA4182IDR
30,1,U204,AD7789,MSOP-10,AD7789BRMZ-REELCT-ND,AD7789BRMZ-REEL
31,1,U205,1k,SOIC-8,ORNT-1KACT-ND,ORNTA1001AT1
32,1,U301,FT231XS-U,SSOP-10,768-1156-5-ND,FT231XS-U
33,1,U302,ATMEGA328P,TQFP-32,ATMEGA328P-AU-ND,ATMEGA328P-AU
34,1,U303,ADuM261N0,SOIC-16 7.5W,505-ADUM261N0BRIZ-ND,ADUM261N0BRIZ
35,1,U304,TMP117xxDRV,WSON-6,296-51835-1-ND,TMP117MAIDRVR
36,1,U401,L78L15,SOT-89-3,497-7769-1-ND,L78L15ABUTR
37,1,U402,PESE1-S5-S24-M,SMD-10 Module,PESE1-S5-D24-M-TR,PESE1-S5-D24-M-TR
38,1,U403,L78L05,SOT-89-3,497-1181-1-ND,L78L05ABUTR
39,1,U404,L79L15,SOT-89-3,497-L79L15ACUCT-ND,L79L15ACUTR
40,1,Y301,16 MHz,HC-49/US,XC1776CT-ND,ECS-160-20-3X-TR
,,,,,,
Mechanical Parts,,,,,,
Item,Qty,Description,Digikey Part #,Manufacturer Part #,,
1,1,RF Shield Cover,903-1016-ND,BMI-S-204-C,,
2,1,Terminal Block Header,277-5988-ND,707264,,
3,1,Terminal Block,277-1013-ND,1757035,,
4,2,Terminal Block Mounting Screw,277-5786-ND,0708263,,
5,1,Enclosure,HM972-ND,1455K1201,,
6,8,Crimp Connector,277-17467-ND,3240535,,
7,8,"6-32x3/8"" Screw",PMS 632 0038 PH,H356-ND,,
8,1,350 mA Fast Blow Fuse,486-3000-ND,3404.0043.11,,
